slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23,surface lum_nuc_neu (ergs/s),surface lum_non_nuc_neu (ergs/s),surface lum_plas_neu (ergs/s),surface lum_brem_neu (ergs/s),surface lum_phot_neu (ergs/s),surface lum_pair_neu (ergs/s),surface lum_reco_neu (ergs/s),surface lum_nuc_gamma (ergs/s),surface lum_grav_gamma (ergs/s),MESA surface lum_gamma (ergs/s)
1.0,11.0,-10.0,1e-05,23902969.803817928,1e-05,665962.231351945,4340.320453322246,0.0,3.579644527509267e+16,0.0,0.0,0.0,1.1288766981953227e+19,0.0,0.002516000525170998,0.006102550859362315,0.0013255474742222607,0.0,3.579644527509267e+16,0.0,0.0,0.0,0.0,0.0,0.0,8.947630815610083e+17,0.0,1.7098445736979598e+37
93.0,11.0,-10.0,1000.0,23901969.803827927,36.9593520767294,829103.4404503413,4480.727644120712,0.0,1.2224580707019464e+18,0.0,0.0,0.0,1.424836170959742e+27,0.0,0.002516000525170997,0.006102550859362312,0.0013255474742222603,0.0,1.2224580707019464e+18,0.0,0.0,0.0,0.0,0.0,0.0,3.0556394996984885e+19,0.0,1.2102972223754805e+37
94.0,11.0,-10.0,1044.3512224920753,23901925.452605434,44.35122249207528,832809.5176703569,4124.462576045982,0.0,1.3184031624948183e+18,0.0,0.0,0.0,3.2688341392845243e+27,0.0,0.0024889953125840666,0.006083494621983943,0.0012321516160785184,1.0000000000000004e-99,1.3184031624948183e+18,0.0,0.0,0.0,0.0,0.0,0.0,1.6397638324604207e+19,0.0,8.577178681107056e+36
95.0,11.0,-10.0,1090.9200061087543,23901878.88382182,46.56878361667904,836915.5755767418,4124.4292061552305,0.0,1.425673690063834e+18,0.0,0.0,0.0,5.362568769097539e+27,0.0,0.0024889953125840666,0.006083494621983943,0.0012321516160785184,4.1422568449784126e-100,1.425673690063834e+18,0.0,0.0,0.0,0.0,0.0,0.0,1.8509738383728067e+19,0.0,8.487339449059919e+36
96.0,11.0,-10.0,1139.8172289062672,23901829.98659902,48.897222797512995,841155.2729119901,4126.816594277108,0.0,1.5450985352550351e+18,0.0,0.0,0.0,7.745145966739156e+27,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785182,1.0973698960553625e-99,1.5450985352550351e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.0455223134222045e+19,0.0,8.416809656930577e+36
97.0,11.0,-10.0,1191.159312843656,23901778.644515082,51.34208393738865,845355.773775799,4129.311065166487,0.0,1.680318240778776e+18,0.0,0.0,0.0,1.046578948921196e+28,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785184,1.097370018349311e-99,1.680318240778776e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.2650888765637444e+19,0.0,8.345079066807121e+36
98.0,11.0,-10.0,1245.068500977914,23901724.73532695,53.90918813425809,849740.6503326265,4132.251223481442,0.0,1.83283214003665e+18,0.0,0.0,0.0,1.358175104160371e+28,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785184,1.0973700183493111e-99,1.83283214003665e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.5154323141119e+19,0.0,8.274719850319156e+36
99.0,11.0,-10.0,1301.673148518885,23901668.130679406,56.604647540970994,854322.262061705,4135.242696970764,0.0,2.0052767936305933e+18,0.0,0.0,0.0,1.7161338892058997e+28,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785182,1.097370018349311e-99,2.0052767936305933e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.801669288926496e+19,0.0,8.202607548663598e+36
100.0,11.0,-10.0,1361.1080284369043,23901608.69579949,59.43487991801955,859114.2093894269,4138.527426088291,0.0,2.2008037192482342e+18,0.0,0.0,0.0,2.1286389754695418e+28,0.0,0.002488995312584066,0.006083494621983942,0.0012321516160785182,1.0973700183493111e-99,2.2008037192482342e+18,0.0,0.0,0.0,0.0,0.0,0.0,3.129871033474368e+19,0.0,8.130660282038979e+36
101.0,11.0,-10.0,1423.514652350825,23901546.289175577,62.40662391392053,864134.6729009603,4142.827075376857,0.0,2.423346494602777e+18,0.0,0.0,0.0,2.6055669647140765e+28,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785184,1.097370018349311e-99,2.423346494602777e+18,0.0,0.0,0.0,0.0,0.0,0.0,3.5074249741612823e+19,0.0,8.064381852454829e+36
102.0,11.0,-10.0,1489.0416074604416,23901480.762220465,65.52695510961655,869386.4399881423,4146.011733044038,0.0,2.676991452332166e+18,0.0,0.0,0.0,3.1587560200557504e+28,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785184,1.097370018349311e-99,2.676991452332166e+18,0.0,0.0,0.0,0.0,0.0,0.0,3.9423541367777665e+19,0.0,7.987529640743596e+36
103.0,11.0,-10.0,1557.8449103255389,23901411.9589176,68.8033028650974,874878.2969739841,4149.1467357068705,0.0,2.9668282153866844e+18,0.0,0.0,0.0,3.8024927571383517e+28,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785184,1.097370018349311e-99,2.9668282153866844e+18,0.0,0.0,0.0,0.0,0.0,0.0,4.444693761901072e+19,0.0,7.90852133394721e+36
104.0,11.0,-10.0,1630.0883783338911,23901339.715449594,72.24346800835225,880649.1370407954,4156.354565781282,0.0,3.300464695529931e+18,0.0,0.0,0.0,4.554427729673941e+28,0.0,0.002488995312584067,0.006083494621983942,0.0012321516160785184,1.097370018349311e-99,3.300464695529931e+18,0.0,0.0,0.0,0.0,0.0,0.0,5.029066021578313e+19,0.0,7.857725986879827e+36
105.0,11.0,-10.0,1705.944019742661,23901263.859808184,75.85564140876988,886682.7650184118,4159.902426009388,0.0,3.6841011605307295e+18,0.0,0.0,0.0,5.435732333280093e+28,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785182,1.0973700183493107e-99,3.6841011605307295e+18,0.0,0.0,0.0,0.0,0.0,0.0,5.708045186551035e+19,0.0,7.777596683595492e+36
106.0,11.0,-10.0,1785.5924432218694,23901184.211384706,79.64842347920838,892992.2742655614,4163.80868821488,0.0,4.1266727998625034e+18,0.0,0.0,0.0,6.472266987597173e+28,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785184,1.0973700183493107e-99,4.1266727998625034e+18,0.0,0.0,0.0,0.0,0.0,0.0,6.499404377304508e+19,0.0,7.698539122226807e+36
107.0,11.0,-10.0,1869.223287875038,23901100.58054005,83.6308446531688,899588.6800245551,4167.6793217731065,0.0,4.638739115281384e+18,0.0,0.0,0.0,7.695679839170912e+28,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785182,1.0973700183493107e-99,4.638739115281384e+18,0.0,0.0,0.0,0.0,0.0,0.0,7.424358869908747e+19,0.0,7.617786533393563e+36
108.0,11.0,-10.0,1957.0356747608655,23901012.768153165,87.81238688582724,906485.5705690931,4171.730401804932,0.0,5.233157356416878e+18,0.0,0.0,0.0,9.144872689919899e+28,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785184,1.097370018349311e-99,5.233157356416878e+18,0.0,0.0,0.0,0.0,0.0,0.0,8.508115871339345e+19,0.0,7.537059086712657e+36
109.0,11.0,-10.0,2049.238680990984,23900920.565146934,92.2030062301186,913713.0752426021,4177.8989059813375,0.0,5.926931719729747e+18,0.0,0.0,0.0,1.0868254926421253e+29,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785184,1.097370018349311e-99,5.926931719729747e+18,0.0,0.0,0.0,0.0,0.0,0.0,9.78500743113325e+19,0.0,7.46982435687098e+36
