mass enclosed (Msun),dm (g),r (Rsun),dr (cm),T (K),log T,eps_grav (ergs/g s),eps_nuc (ergs/g s),eps_neu (ergs/g s),eps_a (ergs/g s),lum_gamma (ergs/s),lum_neu (ergs/s),lum_a (ergs/s),X_c12,log X_c12,X_o16,log X_o16,X_ne20,log X_ne20,X_na23,log X_na23
2.1876962244780918e-06,4.3500367768372866e+27,8.672661320254565e-05,6033570.4805011,1542963509.3357558,9.188355655239093,0.0,3418468848.9414487,4259998746.8986278,78.09517204389799,1.4870465213367928e+37,1.8531151218289786e+37,3.397168704843914e+29,4.248250901533459e-12,-11.371789841753875,0.7020445390901866,-0.1536353344976841,0.025336393393921304,-1.5962552063663757,2.6210621503075046e-05,-4.581522680993275
4.375392682467311e-06,4.3500372311569256e+27,0.00010927079830458868,1568398.9575491343,1542887721.706559,9.188334322941001,0.0,3415710745.941616,4257950774.4771748,78.08314503855182,2.9728934129076755e+37,3.7053395615698964e+37,6.79381458527918e+29,4.248251217598705e-12,-11.37178980944284,0.7020445371859704,-0.15363533567565865,0.025336396156292698,-1.5962551590162035,2.6210623799851554e-05,-4.58152264293705
8.75078560000006e-06,8.700074465404461e+27,0.00013767707665000923,1976224.7844909076,1542797489.047121,9.188308923366245,0.0,3412422703.3326335,4255513589.1065726,78.06882583450061,5.941726575550746e+37,7.407668072946674e+37,1.3585860567147648e+30,4.248251565578126e-12,-11.371789773869251,0.7020445350874892,-0.15363533697380818,0.025336399200525377,-1.596255106834616,2.6210626330419252e-05,-4.5815226010070464
1.7501571433511248e-05,1.740014892771831e+28,0.00017347141517001842,2490212.13083704,1542654246.146057,9.188268598897164,0.0,3407193567.795517,4251647082.7200575,78.04609508765546,1.1870294126071336e+38,1.4805597315689483e+38,2.7165997344668346e+30,4.248252075961232e-12,-11.371789721693304,0.7020445320046632,-0.1536353388808871,0.025336403672853402,-1.596255030173872,2.6210630046715552e-05,-4.581522539430233
3.5003143102087936e-05,3.4800297858527234e+28,0.00021857873680411453,3138116.3660840653,1542426844.1437218,9.188204575014435,0.0,3398868592.1970873,4245515158.6800833,78.01001226158054,2.3698458065116512e+38,2.9580116524185427e+38,5.4313713971172e+30,4.248252823560137e-12,-11.371789645267036,0.7020445274770559,-0.15363534168172774,0.025336410241452244,-1.5962549175807077,2.6210635501586262e-05,-4.581522449046293
7.0006286437687e-05,6.9600595713963855e+28,0.00027542893390106567,3955068.2120348904,1542065821.3242369,9.188102911476172,0.0,3385592995.7183514,4235795893.865703,77.9527358373811,4.726238699981858e+38,5.906150827776692e+38,1.0856928248932185e+31,4.248253916381588e-12,-11.371789533549046,0.7020445208305326,-0.15363534579335927,0.025336419884845744,-1.5962547522821613,2.6210643502086285e-05,-4.581522316482835
0.00014001257311043944,1.3920119143101832e+29,0.0003470927694127963,4985653.036551099,1541492622.8529809,9.187941450657137,0.0,3364368853.53357,4220404223.645336,77.86182133115913,9.40948022823468e+38,1.178100379029602e+39,2.1695386545218614e+31,4.2482555086032965e-12,-11.371789370777943,0.7020445110803748,-0.15363535182494223,0.025336434032940957,-1.5962545097681047,2.6210655221521084e-05,-4.581522122298945
0.0002377727455876409,1.943872919148113e+29,0.00041420463578602923,4668972.543585815,1540765565.582301,9.187736563884364,0.0,3337251819.058617,4200949742.626647,77.7465469508248,1.5896673663680505e+39,1.9947116229690195e+39,3.6808327262717174e+31,4.248257351150867e-12,-11.371789182416375,0.7020444996679226,-0.15363535888484367,0.025336450596322935,-1.5962542258535242,2.621066890735526e-05,-4.5815218955331245
0.00033553291806442953,1.9438729191399034e+29,0.00046468869658811113,3512176.1100008413,1540055100.8242998,9.187536259509091,0.0,3310424752.919404,4182012856.776024,77.63395171340684,2.233171869173094e+39,2.807641776947201e+39,5.189938089686782e+31,4.248259022125704e-12,-11.371789011594567,0.7020444891930413,-0.15363536536475084,0.025336465802406897,-1.5962539652046874,2.621068143599314e-05,-4.5815216879414375
0.0005310532630172782,3.88774583826532e+29,0.0005417358201392305,5360168.385451376,1539104684.808696,9.187268160109948,0.0,3274138342.8697643,4156797901.2605033,77.48340548847447,3.506073640812778e+39,4.423699151060755e+39,8.20229596191119e+31,4.2482611410731276e-12,-11.371788794977137,0.7020444757508764,-0.15363537368026103,0.025336485319941343,-1.5962536306531239,2.6210697477409692e-05,-4.58152142214535
