slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1273.0,29.0,-10.0,6894318.25753097,6953.375972424634,136.06351079052513,325916781.51820356,3177.386726217558,1.2159720872628337e+39,7.273165041793399e+36,5.77444685396993e+29,8.191191449080842e+35,5.217613262836099e+48,3.120841570490301e+46,2.4777567516895904e+39,0.09657990933370678,0.28577414753963176,0.005821962067629604,4.130896221660955e-05
1274.0,29.0,-10.0,6894442.645139522,6828.988363872282,124.38760855267448,327794140.6145184,3176.915827903851,1.1762899260219133e+39,7.588063413708278e+36,6.358922274550904e+29,9.020283860585046e+35,9.831831197074896e+48,6.09740181428021e+46,4.9721633220912425e+39,0.09648745116613554,0.2858535233956913,0.0058731229301268225,4.1306896090491814e-05
1275.0,29.0,-10.0,6894556.467373967,6715.166129427031,113.82223444555456,329676753.0691778,3176.459853965701,1.1328992731963648e+39,7.915443374523029e+36,6.997105059404557e+29,9.92556145728679e+35,1.389837085595935e+49,8.938648618979402e+46,7.483772773580206e+39,0.0964086533727811,0.2859173824671408,0.0059211793940641255,4.130516571366103e-05
1276.0,29.0,-10.0,6894660.751494491,6610.88200890366,104.28412052267655,331562645.5712335,3176.0468814961287,1.0860748632473175e+39,8.255399340465803e+36,7.692641432826583e+29,1.0912196495858895e+36,1.747014962995831e+49,1.1653605122714098e+47,1.0013654857730615e+40,0.09634193932060993,0.2859679642357098,0.005965968001459864,4.13037417248683e-05
1277.0,29.0,-10.0,6894756.432225991,6515.201277403161,95.68073150107877,333451206.2996616,3174.9915643001063,1.0357121736796111e+39,8.60823080970454e+36,8.449779610358317e+29,1.1986215172003922e+36,2.059529464677127e+49,1.4251041968797347e+47,1.2563280836216775e+40,0.09628588342608353,0.28600729011067194,0.006007343898806643,4.130260069709849e-05
1278.0,29.0,-10.0,6894844.36942183,6427.264081563801,87.93719583900787,335340942.0269345,3174.6632349859024,9.822255685635703e+38,8.97405171348176e+36,9.272576986033004e+29,1.315337299653548e+36,2.331919022530673e+49,1.6739714689835303e+47,1.513474020993499e+40,0.09623916281882262,0.28603720292108176,0.006045210137951705,4.1301716212263355e-05
1279.0,29.0,-10.0,6894925.343669316,6346.289834078401,80.97424748589223,337227598.44951785,3174.3029667780606,9.26388312393916e+38,9.35242110965321e+36,1.0163845328450511e+30,1.4417658530694934e+36,2.5684819003768284e+49,1.912795256258162e+47,1.77301836851103e+40,0.09620054736539929,0.2860593737838161,0.0060795253071196575,4.1301064386016995e-05
1280.0,29.0,-10.0,6895000.100370835,6271.53313255962,74.7567015189235,339112190.1111895,3173.9349329319675,8.676438312967455e+38,9.743866297071099e+36,1.1128767158910469e+30,1.5786423305326312e+36,2.77303130566525e+49,2.1425095680970393e+47,2.0353820967872126e+40,0.09616896510794387,0.2860752570670793,0.006110254427775876,4.130063027094601e-05
1281.0,29.0,-10.0,6895069.312932499,6202.320570895448,69.2125616638203,340992369.0435935,3173.493595615363,8.07091909967395e+38,1.0148208298433259e+37,1.2171003796332589e+30,1.726486098918889e+36,2.949194235449178e+49,2.3640132263336576e+47,2.3010370563642297e+40,0.096143421129484,0.2860861483186784,0.006137427814540292,4.1300389554768035e-05
1282.0,29.0,-10.0,6895133.580882148,6138.0526212463155,64.26794964888698,375436069.90826344,3173.202263545646,7.454062084915321e+38,1.0569065691437932e+37,1.3317102869569223e+30,1.8890630030952812e+36,3.100269741399609e+49,2.5782221943523974e+47,2.570941979464553e+40,0.09612447887823249,0.2860975394797044,0.006161190276645452,4.130027954417546e-05
1283.0,29.0,-10.0,6895193.461985145,6078.171518249437,59.88110299709374,344732800.4002113,3172.9313133655965,6.834675571377938e+38,1.099519511179673e+37,1.4502942864473826e+30,2.057277252388487e+36,3.229336470077914e+49,2.785856609393576e+47,2.844817070122092e+40,0.09610699495191517,0.28609728258848516,0.006181406541589388,4.1300414653236823e-05
1284.0,29.0,-10.0,6895249.464435491,6022.169067903422,56.00245034614427,346589506.3838954,3172.624418061223,6.225386111830171e+38,1.1437470899233816e+37,1.5799948409277917e+30,2.2412606017322546e+36,3.3392825954866986e+49,2.98785301367392e+47,3.123858896292148e+40,0.09609459897941473,0.2860993020223648,0.006198483538727325,4.130064549033541e-05
1285.0,29.0,-10.0,6895302.055327112,5969.578176282346,52.590891621452,348434839.8426144,3172.2800997636227,5.637189896722636e+38,1.189192172545778e+37,1.718882536364156e+30,2.4382761310134277e+36,3.4327757483461923e+49,3.1850812915997258e+47,3.4089366578435875e+40,0.0960852086585005,0.2860998966515096,0.006212539604209629,4.1300999873554125e-05
1286.0,29.0,-10.0,6895351.664286401,5919.969216993079,49.608959288751954,350267240.96853364,3171.870090953289,5.082834279811878e+38,1.235826725053011e+37,1.867279554103705e+30,2.648780862205404e+36,3.512295071269459e+49,3.3784224454063993e+47,3.7010665949547427e+40,0.09607826459004228,0.28609960294699877,0.006223815504368013,4.1301462358106143e-05
1287.0,29.0,-10.0,6895398.686835076,5872.946668318473,47.02254867479194,352085027.53004354,3171.394287663093,4.5742951367419676e+38,1.2836130386292383e+37,2.0254662875479912e+30,2.8731725400777265e+36,3.580127435427017e+49,3.568769820184022e+47,4.001423617618719e+40,0.0960732771415938,0.286098835249787,0.006232586956476845,4.130201833866591e-05
1288.0,29.0,-10.0,6895443.489036846,5828.144466548227,44.80220176976039,353886683.7505302,3170.8219473007007,4.1235553830142884e+38,1.3325112959602377e+37,2.1937000027379803e+30,3.111816102683891e+36,3.6383884168844724e+49,3.7570379739854144e+47,4.3113675938999624e+40,0.09606982112272976,0.28609789724590706,0.006239159637931337,4.1302654110808926e-05
1289.0,29.0,-10.0,6895486.412161204,5785.221342190169,42.92312435876677,355670495.39988995,3170.405854650551,3.7404098856417396e+38,1.3824693651149558e+37,2.3721757845140748e+30,3.364988282552043e+36,3.689019489695156e+49,3.944172296756742e+47,4.632470918234872e+40,0.09606752911208627,0.28609699346338713,0.006243866206455037,4.130335866760143e-05
1290.0,29.0,-10.0,6895527.777809921,5743.855693473481,41.365648716491314,357436331.77397996,3169.9916642451412,3.4329982227762015e+38,1.4334766212065834e+37,2.561215237030229e+30,3.6331452828930684e+36,3.733803195182851e+49,4.1311703394638476e+47,4.966583263836388e+40,0.0960660885142836,0.2860962418300739,0.006247056344023299,4.130412094589687e-05
1291.0,29.0,-10.0,6895567.884899766,5703.748603628017,40.107089846262234,359184160.2495002,3169.624838501102,3.2036833495860614e+38,1.485523493620794e+37,2.7611394099976073e+30,3.916742520427446e+36,3.774323932753949e+49,4.319061903867321e+47,5.315816921539123e+40,0.09606524169805844,0.2860956901277031,0.006249077010614948,4.1304929365316424e-05
1292.0,29.0,-10.0,6895607.007894439,5664.62560895551,39.122994671483056,360915189.0612874,3169.154681381048,3.048839289896508e+38,1.5386393009501659e+37,2.9724187759621106e+30,4.216447371752877e+36,3.8119399862915757e+49,4.508896568198226e+47,5.6825488256554355e+40,0.09606478468778873,0.28609533469469217,0.006250252388672526,4.130577577078649e-05
1293.0,29.0,-10.0,6895645.396869236,5626.236634158529,38.38897479687783,362631880.5406061,3168.8403005198898,2.959496358391698e+38,1.5928984196764445e+37,3.1957253449492945e+30,4.533213099218853e+36,3.8477686764236083e+49,4.701738379706338e+47,6.069434428020203e+40,0.0960645640689618,0.2860951399264569,0.006250865567302293,4.13066543198263e-05
1294.0,29.0,-10.0,6895683.27042196,5588.36308143381,37.87355272434531,364337093.6057263,3168.5885506731483,2.9216166539480503e+38,1.6483968647345701e+37,3.4318660501582706e+30,4.868184356934711e+36,3.882663891895309e+49,4.898619663566966e+47,6.479329768425173e+40,0.09606447210151542,0.2860950567392433,0.006251144147075069,4.130756135964096e-05
1295.0,29.0,-10.0,6895723.03765232,5548.595851073973,39.76723036056257,366135298.3407987,3168.343428929146,2.9200236809778977e+38,1.708700371329887e+37,3.6972112707954736e+30,5.2445829206938786e+36,3.9192838906765057e+49,5.11290767062373e+47,6.942996803430228e+40,0.09606444034935523,0.2860950393255921,0.006251252399018331,4.1308552762913436e-05
1296.0,29.0,-10.0,6895764.7932442,5506.840259194374,41.7555918785907,368029326.04949695,3167.654563481379,2.941613572311513e+38,1.7742482984777685e+37,3.995850656222375e+30,5.668210056267188e+36,3.958019186024028e+49,5.346541457563906e+47,7.469172154231794e+40,0.09606443282971236,0.2860950557666531,0.0062512851070271915,4.1309633170872985e-05
1297.0,29.0,-10.0,6895808.636615672,5462.996887722053,43.84337147252024,370023012.8638105,3166.3598658424326,2.97273536682034e+38,1.8455628144045338e+37,4.3326963059416207e+30,6.146033694689532e+36,3.999121549938536e+49,5.601717196620273e+47,8.068230053180719e+40,0.09606443258350396,0.2860950869020691,0.006251291950023407,4.13108091229496e-05
