slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),max T (K),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1.0,8.999999996464378,-10.0,10.0,24900148.443514165,10.0,31465919.213506225,24843.691211585603,1.6420910943747468e+37,7.912572564312876e+28,2.818237104256495e-36,3.99773697007834e-30,5.1784984752202015e+45,2.4953088838817087e+37,8.887592531983282e-28,31465919.213506225,0.001718311917466825,0.006553359064364041,0.001350302261227944,3.376608504901359e-05
2.0,8.999999992222,-10.0,22.0,24900136.443514165,12.0,31466147.552573796,24843.63879391791,1.641095210737303e+37,7.913158509682817e+28,2.8221772217564646e-36,4.003326121314867e-30,1.1388927903117593e+46,5.489901285017997e+37,1.9567614235820706e-27,31466147.552573796,0.0017182578728446285,0.006553351621623443,0.0013503022612801196,3.376828171907005e-05
3.0,8.99999998713171,-10.0,36.4,24900122.043514166,14.4,31466358.882903982,24843.463978114898,1.6398387954778907e+37,7.913755720331445e+28,2.8260342436211208e-36,4.0087973993984065e-30,1.883573760372106e+46,9.08368337072576e+37,3.240115572640504e-27,31466358.882903982,0.001718193428224404,0.006553342689325706,0.0013503022613427544,3.3770917650489054e-05
4.0,8.999999981024137,-10.0,53.68,24900104.763514165,17.28,31466596.42342068,24843.24998352012,1.6385375893895848e+37,7.9144443648637105e+28,2.830322842884304e-36,4.014880880379615e-30,2.776481842492252e+46,1.3396597144958869e+38,4.78247758971339e-27,31466596.42342068,0.0017181166088329509,0.006553331969196771,0.0013503022614179472,3.377408069941684e-05
5.0,8.999999973696161,-10.0,74.416,24900084.027514163,20.736,31466878.986827046,24842.991252855285,1.636872493092086e+37,7.915265827048305e+28,2.8355239905281376e-36,4.022258833139936e-30,3.8468826837887167e+46,1.8572630853212415e+38,6.636713199259355e-27,31466878.986827046,0.0017180252076620807,0.006553319103089371,0.0013503022615082257,3.3777876202773286e-05
6.0,8.999999964904195,-10.0,99.2992,24900059.144314166,24.883200000000002,31467220.291833214,24842.68210744043,1.634947865005951e+37,7.916255208105392e+28,2.841808173144604e-36,4.0311730970017764e-30,5.129853405745696e+46,2.4784647686851147e+38,8.86672723310092e-27,31467220.291833214,0.0017179166166896949,0.006553303660919064,0.0013503022616166288,3.378243059051159e-05
7.0,8.999999954356152,-10.0,129.15904,24900029.284474164,29.859840000000002,31467633.681437537,24842.314204287686,1.6327408571631522e+37,7.917448781261302e+28,2.849420622874182e-36,4.0419715396419764e-30,6.667340021278094e+46,3.224019182721326e+38,1.154991241247031e-26,31467633.681437537,0.00171778781811977,0.006553285126166409,0.001350302261746812,3.3787895558185465e-05
8.0,8.999999941701823,-10.0,164.990848,24899993.452666163,35.831808,31468135.60932021,24841.87837059369,1.6302338480053692e+37,7.918890755096747e+28,2.8586648953377378e-36,4.0550847619940694e-30,8.509491059882751e+46,4.1188474214397655e+38,1.4780180580691869e-26,31468135.60932021,0.0017176353367383732,0.00655326287838909,0.0013503022619031759,3.3794453114982135e-05
9.0,8.999999926521404,-10.0,207.98901759999998,24899950.454496566,42.998169600000004,31468746.230775796,24841.36406154758,1.6274182216985628e+37,7.920634770706691e+28,2.8699153528430953e-36,4.071043805976399e-30,1.0716254344314039e+47,5.192877794722809e+38,1.8671757893541244e-26,31468746.230775796,0.0017174551891118602,0.00655323617214082,0.0013503022620910215,3.380232164084521e-05
10.0,8.99999990831175,-10.0,259.58682111999997,24899898.856693044,51.59780352,31469490.208487604,24840.759197553194,1.624299171298885e+37,7.922745823894904e+28,2.883634402305729e-36,4.090504606896332e-30,1.3359295003214909e+47,6.4820577507740295e+38,2.3363974146169572e-26,31469490.208487604,0.0017172428274820125,0.006553204111532167,0.001350302262316739,3.381176315510643e-05
11.0,8.999999886469972,-10.0,321.504185344,24899836.93932882,61.917364223999996,31470397.55120657,24840.049893868447,1.6209014082636517e+37,7.92530230203631e+28,2.900392337909294e-36,4.1142761407404435e-30,1.6524309233457742e+47,8.02957288260376e+38,2.902735563005871e-26,31470397.55120657,0.0017169930734885913,0.006553165619497577,0.0013503022625880406,3.382309203925256e-05
12.0,8.999999860273878,-10.0,395.8050224128,24899762.638491753,74.30083706879998,31471504.41906508,24839.220001068978,1.6172754171299688e+37,7.928397998578413e+28,2.9208896247956702e-36,4.1433520341236535e-30,2.0313830064281034e+47,9.887316409305502e+38,3.587144165304517e-26,31471504.41906508,0.0017167000325990292,0.006553119400621069,0.0013503022629142427,3.383668550418032e-05
13.0,8.999999828858641,-10.0,484.9660268953599,24899673.47748727,89.16100448255997,31472853.754568584,24838.25033098169,1.6135034961813349e+37,7.932143829108848e+28,2.9459806299057875e-36,4.178944227056477e-30,2.4850649243962417e+47,1.2117661887022891e+39,4.415489530304231e-26,31472853.754568584,0.0017163569741466093,0.006553063896114303,0.0013503022633066162,3.385299614774534e-05
14.0,8.999999791189035,-10.0,591.9592322744319,24899566.48428189,106.99320537907197,31474493.583112832,24837.11713598257,1.609703353432332e+37,7.936665114956857e+28,2.9766660306184756e-36,4.2224722044170424e-30,3.028201005457091e+47,1.479560200439821e+39,5.419857645118522e-26,31474493.583112832,0.0017159561537098726,0.006552997229300033,0.0013503022637788155,3.38725669965492e-05
