slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1.0,11.0,0.0,10.0,16896947.415554624,10.0,32257450.120426945,26802.0052934744,3.233412871101553e+37,1.2323479236506763e+29,0.0,1.0196890830305858e+46,3.886332412024773e+37,0.0,0.002372526922849892,0.009364440960947936,0.0019290032163385967,4.701500238266946e-05
2.0,11.0,0.0,22.0,16896935.415554624,12.0,32257440.35244121,26801.690437826255,3.228549943972433e+37,1.2323758973631642e+29,0.0,2.2414756954279617e+46,8.550037167934143e+37,0.0,0.0023724257011812594,0.009364428684988452,0.0019290032164238078,4.7018404219348494e-05
3.0,11.0,0.0,36.4,16896921.015554626,14.4,32257389.065387648,26801.292691015202,3.222377096658533e+37,1.2323975261421933e+29,0.0,3.70481642675918e+46,1.4146581095290653e+38,0.0,0.0023723056856006126,0.009364413954693335,0.0019290032165260812,4.7022485811542014e-05
4.0,11.0,0.0,53.68,16896903.735554624,17.28,32257311.28331174,26800.897464544152,3.2157143149593872e+37,1.2324180969580556e+29,0.0,5.457194474238924e+46,2.0862545907150298e+38,0.0,0.002372163535909802,0.009364396279695488,0.001929003216648833,4.7027382872929306e-05
5.0,11.0,0.0,74.416,16896882.999554623,20.736,32257230.200533975,26800.312899773737,3.2074844226923154e+37,1.232445924825522e+29,0.0,7.554666353682383e+46,2.892188565629362e+38,0.0,0.0023719957356810504,0.009364375071484972,0.001929003216796173,4.703325811460892e-05
6.0,11.0,0.0,99.2992,16896858.116354626,24.883200000000002,32257153.632299423,26799.620829381936,3.19794140770447e+37,1.2324848943439693e+29,0.0,1.0064144046785328e+47,3.859339915554393e+38,0.0,0.0023717982538214843,0.009364349623855576,0.0019290032169730401,4.704030670776029e-05
7.0,11.0,0.0,129.15904,16896828.256514624,29.859840000000002,32257091.099820115,26798.80887467516,3.186952254052885e+37,1.2325395817945655e+29,0.0,1.3065169233023743e+47,5.0199730324444696e+38,0.0,0.002371566654243974,0.009364319089310033,0.0019290032171853694,4.7048762706218265e-05
8.0,11.0,0.0,164.990848,16896792.424706623,35.831808,32257057.286454327,26797.86399221048,3.1744022437543366e+37,1.2326163686273955e+29,0.0,1.6652218046564111e+47,6.412819541211462e+38,0.0,0.0023712961397067234,0.009364282450620652,0.0019290032174403015,4.705890679077349e-05
9.0,11.0,0.0,207.98901759999998,16896749.426537026,42.998169600000004,32257065.07616457,26796.768660380647,3.161651228128491e+37,1.2327216539345973e+29,0.0,2.0939386369608335e+47,8.084378117584677e+38,0.0,0.002370980589366135,0.009364238486675678,0.0019290032177464048,4.7071075887122816e-05
10.0,11.0,0.0,259.58682111999997,16896697.828733504,51.59780352,32257151.264841564,26795.512741973154,3.145996773424365e+37,1.2328686530823187e+29,0.0,2.6058515611226052e+47,1.0090487604530493e+39,0.0,0.002370615394113052,0.009364185730980086,0.001929003218114044,4.708567348004968e-05
11.0,11.0,0.0,321.504185344,16896635.91136928,61.917364223999996,32257355.361478984,26794.085105634866,3.1287213408253555e+37,1.2330722779772502e+29,0.0,3.2167738242344885e+47,1.249821659212919e+39,0.0,0.00237019515994581,0.009364122421478601,0.001929003218555701,4.710318383256425e-05
12.0,11.0,0.0,395.8050224128,16896561.610532213,74.30083706879998,32257729.966096997,26792.47617484999,3.1099734664908957e+37,1.2333515297491335e+29,0.0,3.945487629548446e+47,1.5388145706371403e+39,0.0,0.002369714605012108,0.009364046439796079,0.0019290032190864496,4.712418792262172e-05
13.0,11.0,0.0,484.9660268953599,16896472.44952773,89.16100448255997,32258344.98757399,26790.678964743696,3.0900368972294356e+37,1.2337310235157294e+29,0.0,4.814338468387789e+47,1.8857127696990565e+39,0.0,0.0023691686992180537,0.00936395523711773,0.0019290032197245253,4.7149382966763145e-05
14.0,11.0,0.0,591.9592322744319,16896365.45632235,106.99320537907197,32259288.11155681,26788.68841481642,3.069353878258071e+37,1.2342411638285063e+29,0.0,5.8499807395375265e+47,2.302162736940786e+39,0.0,0.0023685527238771664,0.009363845743739108,0.0019290032204920403,4.717960597938986e-05
15.0,11.0,0.0,720.3510787293183,16896237.064475894,128.39184645488635,32260663.037334453,26786.498925751093,3.048536645225062e+37,1.2349176366126822e+29,0.0,7.08432263956081e+47,2.802176599111771e+39,0.0,0.0023678621622909663,0.009363714258551424,0.0019290032214158643,4.721586218864683e-05
16.0,11.0,0.0,874.4212944751819,16896082.994260147,154.0702157458636,32262586.036112614,26784.09959522136,3.028360045738285e+37,1.2358004447806863e+29,0.0,8.55572959751859e+47,3.40262216887041e+39,0.0,0.002367092308763099,0.009363556313920093,0.0019290032225287434,4.7259359264396426e-05
17.0,11.0,0.0,1059.3055533702181,16895898.110001255,184.8842588950363,32265177.568089794,26781.465799462952,3.0097233567192256e+37,1.236931451714252e+29,0.0,1.0310551806920083e+48,4.1238162873031005e+39,0.0,0.0023662374775563974,0.009363366510866104,0.001929003223870699,4.731154837143263e-05
18.0,11.0,0.0,1281.1666640442618,16895676.24889058,221.86111067404357,32268547.983082574,26778.546446267235,2.9935742553558175e+37,1.2383501061815689e+29,0.0,1.2405039558585288e+48,4.9902418069073616e+39,0.0,0.0023652897236290044,0.009363138319119413,0.0019290032254907759,4.7374173036323846e-05
19.0,11.0,0.0,1547.399996853114,16895410.01555777,266.23333280885225,32272776.695497807,26775.246472503277,2.980793866182216e+37,1.240087085833765e+29,0.0,1.4907694529693872e+48,6.031410787150999e+39,0.0,0.0023642370698528444,0.009362863836823424,0.0019290032274492381,4.7449326623520554e-05
20.0,11.0,0.0,1866.879996223737,16895090.5355584,319.4799993706227,32277885.518520072,26771.414060658804,2.972052600088727e+37,1.242155932568726e+29,0.0,1.7902073563438255e+48,7.282897951615705e+39,0.0,0.0023630613731206894,0.009362533505699959,0.001929003229820287,4.753951878125577e-05
21.0,11.0,0.0,2250.2559954684843,16894707.159559157,383.3759992447472,32283808.77354088,26766.80576135849,2.9676600158579067e+37,1.2445432851593165e+29,0.0,2.1490017705679002e+48,8.787568892994263e+39,0.0,0.0023617361265798973,0.00936213577952263,0.0019290032326954015,4.764775048198085e-05
22.0,11.0,0.0,2710.307194562181,16894247.108360063,460.05119909369665,32290365.05490465,26761.091643723466,2.9674435630982133e+37,1.2471989850510122e+29,0.0,2.5795236642924554e+48,1.0597026958423808e+40,0.0,0.0023602246210685097,0.009361656746703069,0.0019290032361874068,4.7777596244793833e-05
23.0,11.0,0.0,3262.368633474617,16893695.04692115,552.061438912436,32297237.65753121,26753.85998729297,2.9706943629640506e+37,1.2500280461316459e+29,0.0,3.0967158948270106e+48,1.2773301978397652e+40,0.0,0.0023584788878400517,0.009361079711006009,0.0019290032404353876,4.793329090412361e-05
24.0,11.0,0.0,3924.8423601695404,16893032.573194455,662.4737266949231,32303964.000294305,26744.654666459337,2.976201378345529e+37,1.2528840539108557e+29,0.0,3.7184970845354187e+48,1.5390798708543118e+40,0.0,0.0023564396148735125,0.009360384739332515,0.0019290032456105598,4.8119816614011714e-05
25.0,11.0,0.0,4719.810832203449,16892237.60472242,794.9684720339078,32309977.85125058,26733.057612332348,2.982409149530204e+37,1.2555799772784352e+29,0.0,4.46619080822679e+48,1.8538553498497142e+40,0.0,0.002354037076456952,0.009359548171343218,0.0019290032519234258,4.834298752274812e-05
26.0,11.0,0.0,5673.772998644137,16891283.64255598,953.9621664406893,32314652.424421493,26718.79672507142,2.9876310136171254e+37,1.2578982225215456e+29,0.0,5.364994230127138e+48,2.2322833490409226e+40,0.0,0.0023511925337855264,0.009358542091855777,0.0019290032596325454,4.860952730483014e-05
27.0,11.0,0.0,6818.527598372964,16890138.88795625,1144.754599728827,32317386.96161875,26701.8709471917,2.9903166821778547e+37,1.2596153665722036e+29,0.0,6.44452788910592e+48,2.6870168539188234e+40,0.0,0.0023478195419877447,0.009357333733313222,0.0019290032690556995,4.8927139633026456e-05
28.0,11.0,0.0,8192.233118047558,16888765.182436578,1373.7055196745926,32317754.028091535,26682.676343398176,2.989351832806703e+37,1.2605510373482093e+29,0.0,7.739550295774008e+48,3.2331024033678266e+40,0.0,0.0023438250389798704,0.009355884712782182,0.0019290032805850045,4.930458107883506e-05
29.0,11.0,0.0,9840.679741657068,16887116.735812966,1648.446623609511,32317621.725351382,26662.12248731901,2.9841461566411364e+37,1.2606017264785293e+29,0.0,9.290870991536066e+48,3.888431413660233e+40,0.0,0.00233910958736152,0.009354150106140581,0.0019290032947063803,4.9751733286644755e-05
30.0,11.0,0.0,11818.815689988482,16885138.599864636,1978.1359483314131,32313290.986655146,26641.474748065073,2.9754378786710613e+37,1.2598297208360639e+29,0.0,1.1147023385358052e+49,4.674344629627751e+40,0.0,0.002333567800736552,0.009352076559041423,0.0019290033120353274,5.027975941542026e-05
31.0,11.0,0.0,14192.578827986177,16882764.83672664,2373.763137997695,32307453.18624788,26622.3818637939,2.9642573675532203e+37,1.2584083282873506e+29,0.0,1.3366036639761795e+49,5.616376448621468e+40,0.0,0.0023270877027732513,0.009349600494404555,0.001929003333356309,5.0901201312487106e-05
32.0,11.0,0.0,17041.094593583413,16879916.32096104,2848.5157655972343,32301141.597278353,26606.41296891882,2.952410616331834e+37,1.256652701797068e+29,0.0,1.6018210514457596e+49,6.7452375382123615e+40,0.0,0.002319550564641654,0.009346645129031944,0.0019290033596865842,5.1630129897879845e-05
33.0,11.0,0.0,20459.313512300094,16876498.102042325,3418.218918716681,32295420.61589048,26594.590356499808,2.941777719702126e+37,1.2549201518921523e+29,0.0,1.9189357225635492e+49,8.0980032097351635e+40,0.0,0.00231083114120633,0.009343117130189193,0.0019290033923588619,5.248216838100764e-05
34.0,11.0,0.0,24561.17621476011,16872396.239339866,4101.862702460017,32291060.93161332,26586.995970929893,2.9337514803415173e+37,1.2534975397882582e+29,0.0,2.2984350829397087e+49,9.71948177658145e+40,0.0,0.0023008005999627518,0.009338903141936854,0.0019290034331261288,5.3474262651983553e-05
35.0,11.0,0.0,29483.411457712133,16867474.00409691,4922.23524295202,32288259.514522765,26582.73394943207,2.9287996597773593e+37,1.2524995289812211e+29,0.0,2.7530656561166984e+49,1.1663706868467484e+41,0.0,0.002289332947450429,0.009333866700390162,0.0019290034842879406,5.462403277756563e-05
36.0,11.0,0.0,35390.093749254556,16861567.32180537,5906.682291542424,32286626.155501142,26580.320320424184,2.926493934598171e+37,1.2518316553487235e+29,0.0,3.298192849276707e+49,1.3995532909592686e+41,0.0,0.0022763139407563065,0.00932784560409815,0.0019290035488411551,5.5948636722321935e-05
37.0,11.0,0.0,42478.11249910546,16854479.303055517,7088.018749850908,32285394.04260478,26578.365758978307,2.925824205075927e+37,1.2512799431445554e+29,0.0,3.952195777929276e+49,1.6792490929015192e+41,0.0,0.0022616573808258078,0.009320649468814194,0.0019290036306605725,5.746317050175786e-05
38.0,11.0,0.0,50983.73499892655,16845973.680555698,8505.62249982109,32283842.09382945,26575.915622733384,2.925987170769172e+37,1.2506041854429309e+29,0.0,4.737043005139863e+49,2.014702794506375e+41,0.0,0.002245311768145768,0.009312056324939746,0.001929003734727661,5.9178748593924515e-05
39.0,11.0,0.0,61190.48199871186,16835766.933555912,10206.746999785308,32281325.84936281,26572.470648718292,2.9264049500042286e+37,1.2495824410987619e+29,0.0,5.678994152561627e+49,2.4169183573898945e+41,0.0,0.002227268628316135,0.009301809096793547,0.001929003867396461,6.110017384951547e-05
