slice,mass (Msun),coupling,age (years),time to solar luminosity (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23,avg X_h1,avg X_he3,avg X_he4,avg X_n14,avg X_mg24,avg X_si28,avg X_s32,avg X_ar36,avg X_ca40,avg X_ti44,avg X_cr48,avg X_fe52,avg X_fe54,avg X_ni56,avg X_neut,avg X_prot,max T (K),surface lum_nuc (ergs/s),cumulative e_nuc (ergs),surface R (Rsun)
1.0,10.999999993926602,-10.0,10.0,17187520.097822815,10.0,32739535.834143378,27445.621445589073,3.174402976091615e+37,2.1837633413629455e+36,1.9960638822921415e-33,2.8314645225645776e-27,1.0010797225402516e+46,6.886716073322185e+44,6.294787059196498e-25,0.001688107008279114,0.006551829594708783,0.0013503022824829902,3.355469004491505e-05,0.7177882016793271,1.851049688725751e-05,0.26807412926938406,0.0015654587742538082,0.0004891806828128126,0.002271177302229797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32739535.834143378,3.1180733949398916e+37,9.833156258282443e+45,4.0276533735112405
2.0,10.9999999866394,-10.0,22.0,17187508.097822815,12.0,32739777.103312615,27445.507412763614,3.1740612999335785e+37,2.1809325075533117e+36,1.9989443840785034e-33,2.835550583480575e-27,2.2022460883967155e+46,1.5140062580306334e+45,1.385943227075246e-24,0.0016880170147910976,0.006551817425708197,0.0013503022825806059,3.3557748906647726e-05,0.7177881102485696,1.8509192511877935e-05,0.26807420839374313,0.0015655744145320065,0.000489180682813498,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32739777.103312615,3.1139222124175877e+37,2.1617234365178566e+46,4.0274700770025245
3.0,10.999999977896097,-10.0,36.4,17187493.697822817,14.4,32739978.729232375,27445.229127532468,3.1736436889817687e+37,2.1775187982430906e+36,2.001577495870506e-33,2.8392857157522136e-27,3.643456082607214e+46,2.5028576106587085e+45,2.2948963969759665e-24,0.0016879102771162908,0.006551802821509363,0.0013503022826977956,3.356141930511058e-05,0.7177880007259863,1.8507631865364594e-05,0.2680743033533144,0.0015657117204932619,0.000489180682814321,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32739978.729232375,3.1089371332786575e+37,3.5735489931829474e+46,4.027286790731897
4.0,10.999999967405993,-10.0,53.68,17187476.417822815,17.28,32740222.2624429,27444.89217644744,3.1731406552232557e+37,2.1737071576647588e+36,2.004724452340106e-33,2.8437497490312966e-27,5.372633951397138e+46,3.6874021104674304e+45,3.387355109861045e-24,0.0016877838810572066,0.006551785294418515,0.0013503022828384949,3.3565823479658474e-05,0.7177878695594628,1.8505765345297158e-05,0.2680744173197625,0.0015658745187666853,0.0004891806828153092,0.0022711773022297977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32740222.2624429,3.1033682545340027e+37,5.264704944814676e+46,4.027066490224048
5.0,10.99999995482055,-10.0,74.416,17187455.681822814,20.736,32740524.166169308,27444.491902336194,3.1725380565339347e+37,2.169118379812196e+36,2.008633376722524e-33,2.8492946520819414e-27,7.44725333628525e+46,5.105854768460736e+45,4.70086173018336e-24,0.001687634642907304,0.006551764258828199,0.001350302283007442,3.357110803779358e-05,0.7177877125348016,1.8503534832040562e-05,0.26807455410161435,0.0015660670360830976,0.0004891806828164956,0.002271177302229797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32740524.166169308,3.0966860602617882e+37,7.289722396157953e+46,4.026801547986817
6.0,10.99999993972188,-10.0,99.2992,17187430.798622817,24.883200000000002,32740900.30005911,27444.0213511338,3.1718186536804385e+37,2.1638658357542407e+36,2.0134637999862993e-33,2.8561467234117653e-27,9.93623207079321e+46,6.803876199563406e+45,6.2808601878670625e-24,0.001687458916866235,0.006551739011447338,0.0013503022832103359,3.357744890476928e-05,0.7177875246197246,1.850087138149347e-05,0.2680747182727212,0.001566294141255931,0.0004891806828179203,0.0022711773022297977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32740900.30005911,3.0890511682158626e+37,9.713752111278887e+46,4.026483035968015
7.0,10.99999992160902,-10.0,129.15904,17187400.938782815,29.859840000000002,32741372.102238145,27443.472800932577,3.1709619843954595e+37,2.15791133745359e+36,2.0194685712972407e-33,2.864664635630847e-27,1.292219986107734e+47,8.835894804527477e+45,8.182512789525198e-24,0.0016872526382703643,0.006551708707451904,0.0013503022834540394,3.3585057158174425e-05,0.7177872998202396,1.8497693793420493e-05,0.26807491532725825,0.001566561315613784,0.0004891806828196319,0.0022711773022297964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32741372.102238145,3.0804153558077005e+37,1.2614455771052345e+47,4.026100192935439
8.0,10.99999989988152,-10.0,164.990848,17187365.106974814,35.831808,32741966.770964522,27442.83797220968,3.1699439562555393e+37,2.151238174286197e+36,2.026968590386093e-33,2.875303592708842e-27,1.6504210845869177e+47,1.1266776510177263e+46,1.0472970872313368e-23,0.0016870113195222218,0.0065516723316970055,0.001350302283746823,3.359418606262917e-05,0.717787030998176,1.8493906730978367e-05,0.26807515186668274,0.0015668746829388231,0.0004891806828216881,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32741966.770964522,3.070764355703939e+37,1.6084394610864449e+47,4.025640099076196
9.0,10.999999873819872,-10.0,207.98901759999998,17187322.108805217,42.998169600000004,32742718.514915127,27442.108222265913,3.168736330251279e+37,2.1438618827694027e+36,2.036369392501995e-33,2.8886388561295002e-27,2.0800986498499948e+47,1.4173832377383561e+46,1.323426796791969e-23,0.0016867300498538595,0.006551628663916923,0.0013503022840986618,3.36051395214783e-05,0.7177867096513746,1.8489398650982016e-05,0.26807543582555626,0.0015672410401928172,0.0004891806828241588,0.002271177302229798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32742718.514915127,3.0601341383076775e+37,2.0233906747212503e+47,4.025087283928617
10.0,10.9999998425621,-10.0,259.58682111999997,17187270.511001695,51.59780352,32743670.153851338,27441.274617290725,3.1673060647641946e+37,2.13584267408359e+36,2.0481833713394668e-33,2.905397268645946e-27,2.5954789970344905e+47,1.7649250655227242e+46,1.6567048051163821e-23,0.0016864034891092095,0.006551576236580607,0.001350302284521605,3.361828223641418e-05,0.7177863256465262,1.8484039554265944e-05,0.26807577674474714,0.0015676679016475169,0.0004891806828271287,0.0022711773022297977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32743670.153851338,3.0486295293590454e+37,2.5194601145386955e+47,4.02442327898249
