slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1.0,11.0,-9.0,10.0,16950888.43842573,10.0,32257450.120426945,26802.0052934744,3.233412871101553e+37,1.2323479236506763e+29,2.5939759379464196e-32,1.0196890830305858e+46,3.886332412024773e+37,8.180362517907829e-24,0.002372526922849892,0.009364440960947936,0.0019290032163385967,4.701500238266946e-05
2.0,11.0,-9.0,22.0,16950876.43842573,12.0,32257440.35244121,26801.690437826255,3.228549943972433e+37,1.2323758973631642e+29,2.5497458012862414e-32,2.2414756954279617e+46,8.550037167934143e+37,1.7829416548631378e-23,0.0023724257011812594,0.009364428684988452,0.0019290032164238078,4.7018404219348494e-05
3.0,11.0,-9.0,36.4,16950862.038425732,14.4,32257389.065387648,26801.292691015202,3.222377096658533e+37,1.2323975261421933e+29,2.550221242296995e-32,3.70481642675918e+46,1.4146581095290653e+38,2.9410440450610615e-23,0.0023723056856006126,0.009364413954693335,0.0019290032165260812,4.7022485811542014e-05
4.0,11.0,-9.0,53.68,16950844.75842573,17.28,32257311.28331174,26800.897464544152,3.2157143149593872e+37,1.2324180969580556e+29,2.5503382157093414e-32,5.457194474238924e+46,2.0862545907150298e+38,4.330830657033199e-23,0.002372163535909802,0.009364396279695488,0.001929003216648833,4.7027382872929306e-05
5.0,11.0,-9.0,74.416,16950824.02242573,20.736,32257230.200533975,26800.312899773737,3.2074844226923154e+37,1.232445924825522e+29,2.5501888871920867e-32,7.554666353682383e+46,2.892188565629362e+38,5.998476940928408e-23,0.0023719957356810504,0.009364375071484972,0.001929003216796173,4.703325811460892e-05
6.0,11.0,-9.0,99.2992,16950799.139225733,24.883200000000002,32257153.632299423,26799.620829381936,3.19794140770447e+37,1.2324848943439693e+29,2.550212369785316e-32,1.0064144046785328e+47,3.859339915554393e+38,7.999670908783265e-23,0.0023717982538214843,0.009364349623855576,0.0019290032169730401,4.704030670776029e-05
7.0,11.0,-9.0,129.15904,16950769.27938573,29.859840000000002,32257091.099820115,26798.80887467516,3.186952254052885e+37,1.2325395817945655e+29,2.5504967054668557e-32,1.3065169233023743e+47,5.0199730324444696e+38,1.0401371417722587e-22,0.002371566654243974,0.009364319089310033,0.0019290032171853694,4.7048762706218265e-05
8.0,11.0,-9.0,164.990848,16950733.44757773,35.831808,32257057.286454327,26797.86399221048,3.1744022437543366e+37,1.2326163686273955e+29,2.55120113321377e-32,1.6652218046564111e+47,6.412819541211462e+38,1.328420802609587e-22,0.0023712961397067234,0.009364282450620652,0.0019290032174403015,4.705890679077349e-05
9.0,11.0,-9.0,207.98901759999998,16950690.449408133,42.998169600000004,32257065.07616457,26796.768660380647,3.161651228128491e+37,1.2327216539345973e+29,2.5525578255100483e-32,2.0939386369608335e+47,8.084378117584677e+38,1.6745451617705773e-22,0.002370980589366135,0.009364238486675678,0.0019290032177464048,4.7071075887122816e-05
10.0,11.0,-9.0,259.58682111999997,16950638.85160461,51.59780352,32257151.264841564,26795.512741973154,3.145996773424365e+37,1.2328686530823187e+29,2.554595389843347e-32,2.6058515611226052e+47,1.0090487604530493e+39,2.0902259428546105e-22,0.002370615394113052,0.009364185730980086,0.001929003218114044,4.708567348004968e-05
